% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.250      0.12566371       2995.0619      0.30109646
0.250      0.18849556       1205.3834      0.40897695
0.250      0.25132741       950.29038      0.76426887
0.250      0.31415927       679.36527       1.0671445
0.250      0.37699112       512.21776       1.3903311
0.250      0.43982297       418.72714       1.8048250
0.250      0.50265482       367.87158       2.3668790
0.250      0.56548668       308.05416       2.8220484
0.250      0.62831853       284.64339       3.5769343
0.250      0.69115038       255.81905       4.2787883
0.250      0.75398224       231.32447       5.0231387
0.250      0.81681409       220.09107       6.0763439
0.250      0.87964594       206.20940       7.1105376
0.250      0.94247780       191.30029       8.1133326
0.250       1.0053096       177.18237       9.1199053
0.250       1.0681415       166.14459       10.257531
0.250       1.1309734       147.34497       10.798482
0.250       1.1938052       149.03253       12.845522
0.250       1.2566371       133.27330       13.398093
0.250       1.3194689       132.52625       15.423029
0.250       1.3823008       129.03025       17.265114
0.250       1.4451326       122.61211       18.746783
0.250       1.5079645       112.95723       19.622649
0.250       1.5707963       109.52214       21.504622
0.250       1.6336282       104.80974       23.148964
0.250       1.6964600       97.516435       24.120093
0.250       1.7592919       94.756008       26.139105
0.250       1.8221237       89.878310       27.546013
0.250       1.8849556       88.293783       29.957375
0.250       1.9477874       84.836202       31.759683
0.250       2.0106193       81.287852       33.472292
0.250       2.0734512       78.807051       35.589080
0.250       2.1362830       74.855880       36.971965
0.250       2.1991149       71.916511       38.747403
0.250       2.2619467       70.204810       41.160840
0.250       2.3247786       66.967387       42.626374
0.250       2.3876104       64.838215       44.708665
0.250       2.4504423       61.961707       46.187777
0.250       2.5132741       60.000695       48.255422
0.250       2.5761060       56.625678       49.042754
0.250       2.6389378       55.200067       51.392215
0.250       2.7017697       52.417810       52.371390
0.250       2.7646015       52.210817       55.889263
0.250       2.8274334       50.363400       57.671660
0.250       2.8902652       48.053185       58.776746
0.250       2.9530971       47.575920       62.071270
0.250       3.0159289       45.921642       63.819145
0.250       3.0787608       43.687944       64.589171
0.250       3.1415927       42.764394       67.174154
0.250       3.2044245       40.951435       68.263652
0.250       3.2672564       39.540632       69.865617
0.250       3.3300882       38.770608       72.533743
0.250       3.3929201       37.248608       73.705720
