% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       86.456630     0.044054423       1442.2969
0.000       88.467249     0.042808986       1501.5948
0.000       90.477868     0.039311963       1475.1021
0.000       92.488488     0.036770726       1473.7896
0.000       94.499107     0.034733057       1484.8972
0.000       96.509726     0.032320390       1471.8383
0.000       98.520346     0.030255713       1465.7349
0.000       100.53096     0.028531973       1468.5935
0.000       102.54158     0.026986509       1474.0663
0.000       104.55220     0.025787533       1493.0682
0.000       106.56282     0.024089491       1476.7774
0.000       108.57344     0.022821738       1479.7549
0.000       110.58406     0.021585719       1478.8169
0.000       112.59468     0.020571931       1487.6438
0.000       114.60530     0.019460074       1483.9827
0.000       116.61592     0.018155635       1458.6639
0.000       118.62654     0.017273344       1460.8050
0.000       120.63716     0.016310657       1450.7247
0.000       122.64778     0.015401635       1439.5148
0.000       124.65840     0.014611869       1433.9719
0.000       126.66902     0.013786475       1419.4976
0.000       128.67964     0.013066135       1410.4148
0.000       132.70087     0.011960551       1415.9333
0.000       136.72211     0.010885965       1409.4623
0.000       140.74335     0.010083688       1424.2077
0.000       144.76459    0.0089582640       1376.8326
0.000       148.78583    0.0083752958       1397.5106
0.000       152.80707    0.0074337982       1343.7279
0.000       156.82831    0.0066699141       1303.3584
0.000       160.84954    0.0062549764       1318.7286
0.000       164.87078    0.0055162121       1252.3978
0.000       168.89202    0.0049228275       1201.4682
0.000       172.91326    0.0048372120       1266.9232
0.000       176.93450    0.0044550146       1250.1351
0.000       180.95574    0.0042149110       1265.2482
0.000       184.97698    0.0037576078       1204.8549
0.000       188.99821    0.0033905270       1159.6063
0.000       193.01945    0.0032915373       1199.1466
0.000       197.04069    0.0029963798       1161.2745
0.000       201.06193    0.0025996259       1070.4605
0.000       205.08317    0.0024863459       1086.4803
0.000       209.10441    0.0023523039       1089.5653
0.000       213.12565    0.0022973346       1126.6828
0.000       217.14688    0.0020641948       1070.7344
0.000       221.16812    0.0019417393       1064.2135
0.000       225.18936    0.0017444753       1009.2033
0.000       229.21060    0.0017970586       1096.3181
0.000       233.23184    0.0014513876       932.86148
0.000       237.25308    0.0014845244       1004.3687
0.000       241.27432    0.0013787583       981.05121
0.000       245.29555    0.0014059981       1051.2936
0.000       249.31679    0.0012676024       995.19433
0.000       253.33803    0.0011901122       980.30078
0.000       257.35927    0.0010924530       943.39264
0.000       265.40175   0.00094124213       891.42119
0.000       273.44422   0.00076809371       795.59260
0.000       281.48670   0.00094029559       1062.4495
0.000       289.52918   0.00057463342       706.54228
0.000       297.57166   0.00059449437       793.58361
0.000       305.61413   0.00049153254       710.79250
0.000       313.65661   0.00048923800       764.81038
0.000       321.69909   0.00046584419       785.70665
0.000       329.74156   0.00046567796       845.81819
0.000       337.78404   0.00049786067       972.06536
0.000       345.82652   0.00031623731       662.61040
0.000       353.86900   0.00017137043       384.71020
0.000       361.91147   0.00046732882       1122.2765
0.000       369.95395   0.00018620826       477.65268
0.000       377.99643   0.00030026727       821.56390
0.000       386.03891   0.00018034480       525.61423
0.000       394.08138   0.00031737201       984.00347
0.000       402.12386   0.00022053209       726.47651
0.000       410.16634   0.00022880326       799.85730
0.000       418.20881   0.00022003150       815.33234
0.000       426.25129   0.00020830017       817.25390
0.000       434.29377   0.00015779779       654.82005
0.000       442.33625   0.00016405537       719.31364
0.000       450.37872   0.00014683883       679.58656
0.000       458.42120   0.00014478873       706.64142
0.000       466.46368   3.6837875e-05       189.41673
0.000       474.50615   0.00014367377       777.63053
0.000       482.54863   0.00014947814       850.88566
0.000       490.59111   7.1323996e-05       426.64332
0.000       498.63359   9.4584512e-05       594.06624
0.000       506.67606   7.2044416e-05       474.74647
0.000       514.71854   9.8876345e-05       683.08083
0.125     0.062831853       2162.1229     0.027170037
0.125      0.12566371       3335.2666      0.33529757
0.125      0.18849556       1358.2291      0.46083626
0.125      0.25132741       1083.8778      0.87170624
0.125      0.31415927       779.63875       1.2246537
0.125      0.37699112       588.15628       1.5964538
0.125      0.43982297       486.51607       2.0970132
0.125      0.50265482       433.18601       2.7871109
0.125      0.56548668       364.01677       3.3347155
0.125      0.62831853       340.54186       4.2793752
0.125      0.69115038       304.70036       5.0963693
0.125      0.75398224       275.25197       5.9770108
0.125      0.81681409       266.08188       7.3460727
0.125      0.87964594       250.31304       8.6313245
0.125      0.94247780       233.52050       9.9039549
0.125       1.0053096       218.22377       11.232382
0.125       1.0681415       205.81976       12.707020
0.125       1.1309734       182.68203       13.388231
0.125       1.1938052       182.99316       15.772681
0.125       1.2566371       163.17173       16.403811
0.125       1.3194689       162.99862       18.969316
0.125       1.3823008       159.38941       21.327373
0.125       1.4451326       150.44576       23.002409
0.125       1.5079645       140.09140       24.336329
0.125       1.5707963       135.98209       26.700022
0.125       1.6336282       130.03017       28.719313
0.125       1.6964600       121.62981       30.084389
0.125       1.7592919       116.86788       32.238819
0.125       1.8221237       112.11087       34.359876
0.125       1.8849556       109.44698       37.134487
0.125       1.9477874       104.57396       39.148803
0.125       2.0106193       100.62764       41.435930
0.125       2.0734512       96.549205       43.601395
0.125       2.1362830       92.310045       45.592728
0.125       2.1991149       87.661992       47.230803
0.125       2.2619467       87.179625       51.113117
0.125       2.3247786       82.988366       52.824118
0.125       2.3876104       81.923557       56.489724
0.125       2.4504423       77.078179       57.455966
0.125       2.5132741       75.222903       60.497848
0.125       2.5761060       70.285164       60.873055
0.125       2.6389378       68.692357       63.953771
0.125       2.7017697       64.688540       64.631254
0.125       2.7646015       64.039471       68.551289
0.125       2.8274334       62.071514       71.078744
0.125       2.8902652       59.071843       72.254330
0.125       2.9530971       59.283069       77.345334
0.125       3.0159289       56.388621       78.365525
0.125       3.0787608       54.304103       80.284323
0.125       3.1415927       53.105032       83.417189
0.125       3.2044245       51.044723       85.088573
0.125       3.2672564       48.962531       86.513475
0.125       3.3300882       47.777964       89.385096
0.125       3.3929201       45.620420       90.271451
0.125       3.4557519       45.054229       94.196224
0.125       3.5185838       43.174272       95.279390
0.125       3.5814156       42.197622       98.202470
0.125       3.6442475       40.704876       99.802239
0.125       3.7070793       40.107025       103.51096
0.125       3.7699112       38.656340       104.92630
0.125       3.8327430       37.622585       107.31193
0.125       3.8955749       36.394999       109.00004
0.125       3.9584067       35.512568       111.58700
0.125       4.0212386       34.330895       113.09279
0.125       4.1469023       31.946262       115.41486
0.125       4.2725660       31.991146       126.40563
0.125       4.3982297       30.228611       130.29333
0.125       4.5238934       28.507260       133.70967
0.125       4.6495571       27.345047       139.24631
0.125       4.7752208       26.437177       145.83633
0.125       4.9008845       24.931663       148.67739
0.125       5.0265482       23.984056       154.31298
0.125       5.1522120       22.797080       157.95401
0.125       5.2778757       21.689089       161.54333
0.125       5.4035394       20.493221       163.80058
0.125       5.5292031       20.029921       171.52882
0.125       5.6548668       19.153343       175.46156
0.125       5.7805305       18.314920       179.21666
0.125       5.9061942       17.642356       184.14079
0.125       6.0318579       16.983860       188.82521
0.125       6.1575216       16.025782       189.54281
0.125       6.2831853       15.592607       195.94248
0.125       6.4088490       14.942616       199.26774
0.125       6.5345127       14.493237       204.86854
0.125       6.6601764       14.084823       210.80400
0.125       6.7858401       13.571058       214.82996
0.125       6.9115038       12.961617       216.79393
0.125       7.0371675       12.529014       221.19781
0.125       7.1628313       12.036387       224.08901
0.125       7.2884950       11.620462       227.93300
0.125       7.4141587       11.328531       233.89960
0.125       7.5398224       10.976213       238.34504
0.125       7.6654861       10.666463       243.39396
0.125       7.7911498       10.369262       248.44070
0.125       7.9168135       9.9920310       251.17434
0.125       8.0424772       9.6709502       254.86425
0.125       8.2938046       8.8581054       256.01918
0.125       8.5451320       8.6317535       272.85104
0.125       8.7964594       7.9445836       273.94609
0.125       9.0477868       7.8118951       293.12560
0.125       9.2991143       7.3317892       298.67920
0.125       9.5504417       6.8106868       300.56025
0.125       9.8017691       6.4408263       307.27360
0.125       10.053096       6.2239874       320.36017
0.125       10.304424       5.8569762       324.64959
0.125       10.555751       5.6049617       333.97223
0.125       10.807079       5.3106347       339.57963
0.125       11.058406       5.0511325       346.04823
0.125       11.309734       4.9334284       361.55653
0.125       11.561061       4.6669665       365.34066
0.125       11.812388       4.4171915       368.83289
0.125       12.063716       4.2340023       376.58640
0.125       12.315043       4.0359325       381.87565
0.125       12.566371       3.9179935       393.87966
0.125       12.817698       3.7348466       398.44936
0.125       13.069025       3.5618248       402.78420
0.125       13.320353       3.4589903       414.15870
0.125       13.571680       3.3423923       423.28077
0.125       13.823008       3.1960197       427.64890
