% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       273.44422     0.050708070       52523.494
0.000       281.48670     0.050144698       56659.003
0.000       289.52918     0.048071115       59105.987
0.000       297.57166     0.046641798       62261.593
0.000       305.61413     0.045190121       65348.266
0.000       313.65661     0.043683907       68289.678
0.000       321.69909     0.041908530       70684.172
0.000       329.74156     0.040732597       73983.257
0.000       337.78404     0.039219353       76575.188
0.000       345.82652     0.038037822       79700.452
0.000       353.86900     0.036181214       81223.357
0.000       361.91147     0.035411256       85039.098
0.000       369.95395     0.033576527       86128.927
0.000       377.99643     0.033962518       92925.141
0.000       386.03891     0.032035178       93366.402
0.000       394.08138     0.030641035       95001.715
0.000       402.12386     0.030272237       99722.763
0.000       410.16634     0.029468627       103017.31
0.000       418.20881     0.028494670       105587.72
0.000       426.25129     0.027512812       107944.96
0.000       434.29377     0.026659606       110630.48
0.000       442.33625     0.025954907       113801.32
0.000       450.37872     0.024810894       114827.60
0.000       458.42120     0.024488220       119514.76
0.000       466.46368     0.023895582       122868.73
0.000       474.50615     0.022583809       122234.27
0.000       482.54863     0.022298695       126932.54
0.000       490.59111     0.021987106       131521.68
0.000       498.63359     0.021015176       131992.08
0.000       506.67606     0.020387356       134345.26
0.000       514.71854     0.019958053       137878.92
0.125     0.062831853       2162.9164     0.027180010
0.125      0.12566371       3335.6048      0.33533157
0.125      0.18849556       1357.6257      0.46063156
0.125      0.25132741       1083.0939      0.87107578
0.125      0.31415927       778.46218       1.2228055
0.125      0.37699112       586.87106       1.5929653
0.125      0.43982297       484.94227       2.0902298
0.125      0.50265482       431.36706       2.7754078
0.125      0.56548668       362.54876       3.3212672
0.125      0.62831853       338.42336       4.2527533
0.125      0.69115038       302.68163       5.0626042
0.125      0.75398224       273.19750       5.9323985
0.125      0.81681409       263.55876       7.2764136
0.125      0.87964594       248.04380       8.5530764
0.125      0.94247780       230.72158       9.7852485
0.125       1.0053096       215.55114       11.094817
0.125       1.0681415       203.00279       12.533104
0.125       1.1309734       180.14363       13.202200
0.125       1.1938052       179.98948       15.513786
0.125       1.2566371       160.61112       16.146391
0.125       1.3194689       160.20984       18.644765
0.125       1.3823008       156.75481       20.974846
0.125       1.4451326       147.70723       22.583701
0.125       1.5079645       137.68676       23.918601
0.125       1.5707963       133.64337       26.240814
0.125       1.6336282       127.70238       28.205182
0.125       1.6964600       119.49058       29.555262
0.125       1.7592919       114.74728       31.653837
0.125       1.8221237       110.02206       33.719694
0.125       1.8849556       107.34300       36.420623
0.125       1.9477874       102.66704       38.434922
0.125       2.0106193       98.747389       40.661689
0.125       2.0734512       94.881851       42.848422
0.125       2.1362830       90.629257       44.762572
0.125       2.1991149       86.156911       46.419891
0.125       2.2619467       85.674802       50.230844
0.125       2.3247786       81.607996       51.945478
0.125       2.3876104       80.516065       55.519200
0.125       2.4504423       75.802665       56.505167
0.125       2.5132741       73.864773       59.405575
0.125       2.5761060       69.065012       59.816297
0.125       2.6389378       67.384984       62.736584
0.125       2.7017697       63.597365       63.541045
0.125       2.7646015       62.775428       67.198190
0.125       2.8274334       60.978204       69.826783
0.125       2.8902652       58.020636       70.968536
0.125       2.9530971       58.180387       75.906688
0.125       3.0159289       55.363666       76.941104
0.125       3.0787608       53.339552       78.858310
0.125       3.1415927       52.024964       81.720622
0.125       3.2044245       50.192220       83.667501
0.125       3.2672564       48.107642       85.002943
0.125       3.3300882       46.975193       87.883236
0.125       3.3929201       44.834944       88.717190
0.125       3.4557519       44.267272       92.550910
0.125       3.5185838       42.426480       93.629120
0.125       3.5814156       41.536120       96.663019
0.125       3.6442475       39.952804       97.958271
0.125       3.7070793       39.445716       101.80421
0.125       3.7699112       37.999647       103.14381
0.125       3.8327430       36.923477       105.31784
0.125       3.8955749       35.712924       106.95728
0.125       3.9584067       34.866715       109.55761
0.125       4.0212386       33.680618       110.95065
0.125       4.1469023       31.458123       113.65132
0.125       4.2725660       31.504413       124.48241
0.125       4.3982297       29.988064       129.25651
0.125       4.5238934       28.204632       132.29023
0.125       4.6495571       27.086333       137.92889
0.125       4.7752208       26.303190       145.09721
0.125       4.9008845       24.809285       147.94760
0.125       5.0265482       23.701139       152.49270
0.125       5.1522120       22.698909       157.27381
0.125       5.2778757       21.581649       160.74311
0.125       5.4035394       20.445702       163.42076
0.125       5.5292031       19.955140       170.88843
