% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       337.78404    0.0039047786       7624.0205
0.000       345.82652    0.0036061096       7555.8628
0.000       353.86900    0.0034871522       7828.3225
0.000       361.91147    0.0032820815       7881.8229
0.000       369.95395    0.0031540270       8090.5617
0.000       377.99643    0.0031087321       8505.8289
0.000       386.03891    0.0030589649       8915.3413
0.000       394.08138    0.0027297103       8463.3943
0.000       402.12386    0.0026619609       8769.0282
0.000       410.16634    0.0026221213       9166.4903
0.000       418.20881    0.0024144118       8946.6644
0.000       426.25129    0.0023950835       9396.9742
0.000       434.29377    0.0023145753       9604.8894
0.000       442.33625    0.0023279862       10207.238
0.000       450.37872    0.0021474947       9938.8458
0.000       458.42120    0.0020527925       10018.654
0.000       466.46368    0.0020465285       10523.048
0.000       474.50615    0.0019550631       10581.728
0.000       482.54863    0.0018478945       10518.909
0.000       490.59111    0.0018458170       11041.242
0.000       498.63359    0.0017518451       11002.985
0.000       506.67606    0.0016947006       11167.460
0.000       514.71854    0.0016192329       11186.366
0.125     0.062831853       2162.1211     0.027170015
0.125      0.12566371       3331.2327      0.33489204
0.125      0.18849556       1353.6399      0.45927918
0.125      0.25132741       1077.7844      0.86680567
0.125      0.31415927       772.28091       1.2130960
0.125      0.37699112       580.59892       1.5759406
0.125      0.43982297       477.56251       2.0584210
0.125      0.50265482       423.07771       2.7220743
0.125      0.56548668       353.66408       3.2398756
0.125      0.62831853       328.82494       4.1321361
0.125      0.69115038       292.92429       4.8994047
0.125      0.75398224       262.98938       5.7107324
0.125      0.81681409       252.83118       6.9802432
0.125      0.87964594       236.50156       8.1550755
0.125      0.94247780       219.71026       9.3182419
0.125       1.0053096       204.27441       10.514383
0.125       1.0681415       191.44314       11.819427
0.125       1.1309734       169.17307       12.398199
0.125       1.1938052       168.20418       14.497979
0.125       1.2566371       149.40179       15.019506
0.125       1.3194689       148.15913       17.242338
0.125       1.3823008       144.56937       19.344353
0.125       1.4451326       135.66882       20.743088
0.125       1.5079645       126.12904       21.910822
0.125       1.5707963       121.76019       23.907558
0.125       1.6336282       115.95727       25.611079
0.125       1.6964600       107.90883       26.690588
0.125       1.7592919       103.26541       28.486482
0.125       1.8221237       98.374626       30.149975
0.125       1.8849556       95.678065       32.462803
0.125       1.9477874       91.066191       34.091972
0.125       2.0106193       87.156826       35.888988
0.125       2.0734512       83.366436       37.648087
0.125       2.1362830       79.398764       39.215735
0.125       2.1991149       75.302415       40.571672
0.125       2.2619467       74.426447       43.635972
0.125       2.3247786       70.643350       44.966214
0.125       2.3876104       69.349699       47.819522
0.125       2.4504423       65.032306       48.476677
0.125       2.5132741       63.219957       50.844506
0.125       2.5761060       58.765466       50.895996
0.125       2.6389378       57.164647       53.221273
0.125       2.7017697       53.745116       53.697521
0.125       2.7646015       52.954060       56.684870
0.125       2.8274334       51.189920       58.618116
0.125       2.8902652       48.565747       59.403691
0.125       2.9530971       48.558015       63.352588
0.125       3.0159289       45.961315       63.874281
0.125       3.0787608       44.149067       65.270905
0.125       3.1415927       43.037228       67.602720
0.125       3.2044245       41.184554       68.652247
0.125       3.2672564       39.415027       69.643682
0.125       3.3300882       38.316353       71.683902
0.125       3.3929201       36.430660       72.087204
0.125       3.4557519       35.849640       74.951915
0.125       3.5185838       34.213079       75.503330
0.125       3.5814156       33.376045       77.672861
0.125       3.6442475       32.055958       78.596391
0.125       3.7070793       31.536680       81.392029
0.125       3.7699112       30.323558       82.308326
0.125       3.8327430       29.383779       83.812156
0.125       3.8955749       28.399118       85.053029
0.125       3.9584067       27.537684       86.528449
0.125       4.0212386       26.599422       87.623781
0.125       4.1469023       24.735567       89.364193
0.125       4.2725660       24.492665       96.777107
0.125       4.3982297       23.170616       99.871497
0.125       4.5238934       21.736050       101.95017
0.125       4.6495571       20.695257       105.38428
0.125       4.7752208       19.912181       109.84226
0.125       4.9008845       18.727863       111.68167
0.125       5.0265482       17.934778       115.39203
0.125       5.1522120       16.978263       117.63720
0.125       5.2778757       16.109960       119.98920
0.125       5.4035394       15.165619       121.21751
0.125       5.5292031       14.810502       126.83166
0.125       5.6548668       14.186561       129.96144
0.125       5.7805305       13.501004       132.11113
0.125       5.9061942       12.979976       135.47754
0.125       6.0318579       12.388348       137.73267
0.125       6.1575216       11.699027       138.36869
0.125       6.2831853       11.394460       143.18701
0.125       6.4088490       10.901296       145.37459
0.125       6.5345127       10.480342       148.14443
0.125       6.6601764       10.177029       152.31704
0.125       6.7858401       9.8012737       155.15424
0.125       6.9115038       9.3280621       156.01967
0.125       7.0371675       9.0157203       159.17115
0.125       7.1628313       8.6566638       161.16657
0.125       7.2884950       8.3334486       163.45891
0.125       7.4141587       8.1348601       167.96004
0.125       7.5398224       7.8794412       171.09961
0.125       7.6654861       7.6459319       174.46961
0.125       7.7911498       7.4051352       177.42218
0.125       7.9168135       7.1282736       179.18674
0.125       8.0424772       6.9205660       182.38175
0.125       8.2938046       6.2482285       180.58786
0.125       8.5451320       6.0839687       192.31518
0.125       8.7964594       5.6226526       193.88099
0.125       9.0477868       5.4749590       205.43679
0.125       9.2991143       5.1476002       209.70067
0.125       9.5504417       4.7511221       209.67025
0.125       9.8017691       4.5519674       217.16148
0.125       10.053096       4.3365141       223.20842
0.125       10.304424       4.1236775       228.57362
0.125       10.555751       3.9409131       234.81972
0.125       10.807079       3.7375770       238.99310
0.125       11.058406       3.5914186       246.04463
0.125       11.309734       3.4429259       252.32196
0.125       11.561061       3.2707216       256.03947
0.125       11.812388       3.1140852       260.02428
0.125       12.063716       2.9765295       264.74254
0.125       12.315043       2.8456446       269.25188
0.125       12.566371       2.7372086       275.17422
0.125       12.817698       2.6268700       280.24569
0.125       13.069025       2.5202534       284.99949
0.125       13.320353       2.4686454       295.58076
0.125       13.571680       2.3590109       298.74529
0.125       13.823008       2.2575473       302.07499
0.125       14.074335       2.1834397       308.38633
0.125       14.325663       2.0795874       309.73592
0.125       14.576990       2.0007637       313.95660
0.125       14.828317       1.9115464       315.74080
0.125       15.079645       1.8454939       320.59461
0.125       15.330972       1.8040468       329.32686
0.125       15.582300       1.7453021       334.53034
0.125       15.833627       1.6793859       337.72404
0.125       16.084954       1.6172542       340.96363
0.125       16.587609       1.5222448       351.97040
0.125       17.090264       1.4332970       362.45390
0.125       17.592919       1.3441340       370.78874
0.125       18.095574       1.2494036       375.05079
0.125       18.598229       1.1971790       390.16120
0.125       19.100883       1.0990679       388.02091
0.125       19.603538       1.0431895       398.14094
0.125       20.106193       1.0026396       412.86174
0.125       20.608848      0.93847828       416.15548
0.125       21.111503      0.90067278       429.33346
0.125       21.614157      0.84499649       432.25507
0.125       22.116812      0.80717347       442.38942
0.125       22.619467      0.76584308       449.01118
0.125       23.122122      0.74381899       465.82263
0.125       23.624777      0.71026619       474.45447
0.125       24.127432      0.66948056       476.36683
0.125       24.630086      0.65445623       495.39164
0.125       25.132741      0.61478436       494.43892
0.125       25.635396      0.58534936       499.58053
0.125       26.138051      0.56353086       509.80907
0.125       26.640706      0.54240352       519.55309
0.125       27.143361      0.51914475       525.95619
0.125       27.646015      0.49831382       533.42188
0.125       28.148670      0.48360375       546.42878
0.125       28.651325      0.46738396       556.90125
0.125       29.153980      0.44662253       560.66628
0.125       29.656635      0.43188768       570.69842
0.125       30.159289      0.41582850       577.89353
0.125       30.661944      0.39796292       581.18172
0.125       31.164599      0.38313908       587.50470
0.125       31.667254      0.37734184       607.06674
0.125       32.169909      0.36640477       617.98917
0.125       33.175218      0.33480387       619.30146
0.125       34.180528      0.31027312       627.69796
0.125       35.185838      0.29580017       652.78830
0.125       36.191147      0.28573537       686.18516
0.125       37.196457      0.26306262       685.85787
0.125       38.201767      0.24571290       693.98256
0.125       39.207076      0.23376998       713.76028
0.125       40.212386      0.22189010       730.95006
0.125       41.217696      0.21180769       751.38602
0.125       42.223005      0.20078754       765.69259
0.125       43.228315      0.19195809       785.56406
0.125       44.233625      0.17942547       786.70503
0.125       45.238934      0.17564151       823.82414
0.125       46.244244      0.16119902       807.61749
0.125       47.249554      0.15659416       836.83327
0.125       48.254863      0.15028315       855.46807
0.125       49.260173      0.14349595       868.95579
0.125       50.265482      0.13819617       889.15164
0.125       51.270792      0.13087035       893.55568
0.125       52.276102      0.12644289       915.11200
0.125       53.281411      0.12010165       920.33593
0.125       54.286721      0.11574633       938.11981
0.125       55.292031      0.11318936       969.31181
0.125       56.297340      0.10849331       980.70154
0.125       57.302650      0.10426844       993.91042
0.125       58.307960      0.10102379       1014.5593
0.125       59.313269     0.097940654       1035.3540
0.125       60.318579     0.094801427       1053.9947
0.125       61.323889     0.090355944       1055.6405
0.125       62.329198     0.086891326       1065.9119
0.125       63.334508     0.085411594       1099.2799
0.125       64.339818     0.083629944       1128.4220
0.125       66.350437     0.077756771       1150.6410
0.125       68.361056     0.072600024       1174.9877
0.125       70.371675     0.066868945       1180.5609
0.125       72.382295     0.063808930       1225.8823
0.125       74.392914     0.060882872       1269.8725
0.125       76.403533     0.058054015       1311.7252
0.125       78.414153     0.055474473       1355.0234
0.125       80.424772     0.051922649       1368.3482
0.125       82.435391     0.050127809       1422.6239
0.125       84.446011     0.046982815       1433.3317
0.125       86.456630     0.045530719       1490.6294
0.125       88.467249     0.043208690       1515.6151
0.125       90.477868     0.040882239       1534.0235
0.125       92.488488     0.038794516       1554.9042
0.125       94.499107     0.037536338       1604.7422
0.125       96.509726     0.035397195       1611.9529
0.125       98.520346     0.033919477       1643.2256
