alpha,ACF+APS,ACF,APS,ACF_NW+APSNW,ACFNW,APSNW
1.099499999999967,120.64117611727073,121.44958686494834,119.83276536959312,107.91863716424851,109.2979833511662,106.53929097733082
1.099599999999967,120.6615565951571,121.46810870745948,119.85500448285472,107.91906823864645,109.29836412551633,106.53977235177656
1.099699999999967,120.68191477184854,121.48659727149692,119.87723227220015,107.91950273852319,109.29875120467398,106.5402542723724
1.099799999999967,120.70225748579578,121.50506622778337,119.8994487438082,107.9199431640194,109.2991495615399,106.5407367664989
1.099899999999967,120.72259157494054,121.52352924704147,119.9216539028396,107.92039203376358,109.29956416901493,106.54121989851222
1.099999999999967,120.74292387119046,121.5419999999939,119.943847742387,107.92085183400988,109.29999999999984,106.54170366801992
1.100099999999967,120.76326013541255,121.56049001692169,119.96603025390341,107.9213242328295,109.30046040775441,106.54218805790461
1.100199999999967,120.78360184954727,121.57900226633897,119.98820143275556,107.92180766365186,109.30094226697403,106.5426730603297
1.100299999999967,120.80394942539262,121.59753757631817,120.01036127446706,107.92229975093306,109.30144083271314,106.54315866915299
1.100399999999967,120.82430327317643,121.61609677493178,120.03250977142108,107.92279811901565,109.30195136002605,106.54364487800527
1.100499999999967,120.8446638020797,121.63468069025225,120.05464691390713,107.92330039485898,109.30246910396723,106.54413168575074
1.100599999999967,120.86503142183474,121.65329015035206,120.07677269331742,107.92380420507193,109.30298931959098,106.54461909055289
1.100699999999967,120.88540654450765,121.67192598330365,120.09888710571164,107.92430717678182,109.30350726195176,106.54510709161188
1.100799999999967,120.90578958258594,121.69058901717952,120.12099014799236,107.92480694240729,109.3040181861039,106.54559569871068
1.100899999999967,120.92618094563932,121.7092800800521,120.14308181122655,107.92530113090851,109.30451734710184,106.5460849147152
1.100999999999967,120.946581045102,121.7279999999938,120.16516209021019,107.92578736404359,109.30499999999985,106.54657472808732
1.1010999999999669,120.96698981326377,121.74674863656297,120.18723098996456,107.92626382308745,109.30546252515694,106.54706512101798
1.1011999999999669,120.98740524061675,121.76552197526128,120.20928850597222,107.92673093563408,109.30590580415023,106.54755606711792
1.1012999999999669,121.00782482818124,121.78431503307621,120.23133462328626,107.9271897022708,109.30633184386141,106.54804756068019
1.1013999999999668,121.02824608169294,121.80312282699519,120.25336933639069,107.92764116257231,109.30674265117207,106.54853967397254
1.1014999999999668,121.04866651062858,121.8219403740057,120.27539264725145,107.92808633962989,109.30714023296396,106.5490324462958
1.1015999999999668,121.06908361911475,121.8407626910953,120.29740454713419,107.92852619135316,109.30752659611872,106.5495257865876
1.1016999999999668,121.08949491124443,121.85958479525142,120.31940502723745,107.9289616882369,109.30790374751801,106.55001962895578
1.1017999999999668,121.10989789690004,121.87840170346155,120.34139409033851,107.92939385413996,109.30827369404354,106.5505140142364
1.1018999999999668,121.13029008411016,121.89720843271317,120.36337173550713,107.92982370913367,109.30863844257694,106.55100897569042
1.1019999999999668,121.15066897414408,121.91599999999374,120.38533794829442,107.93025225052011,109.30899999999987,106.55150450104037
1.1020999999999668,121.17103207750488,121.93477143678913,120.40729271822062,107.93068053661545,109.30936049161693,106.55200058161398
1.1021999999999668,121.19137693826006,121.95351783257863,120.4292360439415,107.93110986417864,109.30972251642415,106.55249721193314
1.1022999999999668,121.21170110635762,121.97223429133975,120.45116792137549,107.93154158884938,109.31008879184046,106.55299438585831
1.1023999999999667,121.23200213084198,121.99091591705017,120.47308834463377,107.9319770719381,109.31046203528479,106.55349210859143
1.1024999999999667,121.25227756532698,122.00955781368751,120.49499731696645,107.93241767321055,109.3108449641761,106.553990382245
1.1025999999999667,121.27252496138428,122.02815508522934,120.51689483753923,107.93286474410925,109.3112402959333,106.55448919228519
1.1026999999999667,121.29274186676855,122.04670283565326,120.53878089788383,107.93331963760716,109.31165074797534,106.55498852723898
1.1027999999999667,121.31292582885078,122.06519616893692,120.56065548876464,107.9337837136903,109.31207903772113,106.55548838965946
1.1028999999999667,121.33307439559456,122.08363018905794,120.58251860213117,107.93425833269009,109.31252788258968,106.5559887827905
1.1029999999999667,121.35318511602082,122.10199999999388,120.60437023204777,107.93474485077556,109.31299999999985,106.55648970155126
1.1030999999999667,121.37325649628278,122.1203026162431,120.62621037632248,107.93524381992265,109.3134965083745,106.5569911314708
1.1031999999999667,121.39329086261381,122.13854269438698,120.64803903084064,107.93575259707781,109.31401213015236,106.55749306400325
1.1032999999999666,121.41329149488729,122.15672680152755,120.66985618824702,107.9362677601994,109.31453998877598,106.55799553162281
1.1033999999999666,121.4332616746525,122.1748615047669,120.69166184453809,107.93678589117881,109.31507320768793,106.5584985746697
1.1034999999999666,121.45320468749244,122.19295337120711,120.7134560037778,107.93730352751517,109.31560491033082,106.55900214469952
1.1035999999999666,121.47312381667635,122.21100896795026,120.73523866540245,107.93781718996314,109.3161282201472,106.55950615977908
1.1036999999999666,121.49302233927585,122.22903486209844,120.75700981645328,107.93832344490562,109.31663626057973,106.56001062923151
1.1037999999999666,121.51290353219996,122.24703762075376,120.77876944364615,107.93881888065064,109.31712215507098,106.56051560623033
1.1038999999999666,121.53277067728236,122.26502381101822,120.80051754354649,107.9393000624128,109.31757902706349,106.56102109776212
1.1039999999999666,121.55262705798688,122.28299999999396,120.82225411597982,107.9397635391993,109.31799999999987,106.56152707839875
1.1040999999999666,121.57247612785187,122.30097309820172,120.84397915750203,107.9402074994993,109.3183814748841,106.56203352411448
1.1041999999999665,121.59232202897188,122.31895138983687,120.86569266810689,107.94063669834851,109.31873296296548,106.56254043373154
1.1042999999999665,121.6121690745767,122.33694350251353,120.88739464663986,107.9410575394072,109.31906725305477,106.56304782575963
1.1043999999999665,121.63202157588941,122.35495806384576,120.90908508793305,107.9414764208234,109.31939713396261,106.5635557076842
1.1044999999999665,121.65188384320987,122.37300370144759,120.93076398497216,107.94189972805896,109.31973539449974,106.56406406161818
1.1045999999999665,121.67176018653458,122.39108904293315,120.95243133013604,107.94233384358887,109.32009482347692,106.56457286370082
1.1046999999999665,121.6916549173495,122.40922271591648,120.97408711878252,107.94278515602619,109.32048820970479,106.56508210234757
1.1047999999999665,121.71157234853922,122.42741334801167,120.99573134906679,107.94326006191066,109.3209283419941,106.56559178182722
1.1048999999999665,121.73151679111076,122.44566956683275,121.01736401538878,107.94376496084209,109.32142800915554,106.56610191252862
1.1049999999999665,121.75149255367158,122.46399999999385,121.03898510734932,107.94430624706436,109.32199999999982,106.56661249412889
1.1050999999999664,121.77150180488773,122.4824089909136,121.06059461886187,107.94488755300304,109.32265159208828,106.5671235139178
1.1051999999999664,121.79153814967046,122.50088374622909,121.08219255311184,107.94550149390965,109.32336801798492,106.56763496983437
1.1052999999999664,121.81159305250665,122.51940718838188,121.10377891663141,107.94613794230602,109.32412899900424,106.5681468856078
