logk z371 z349 z328 z290 z244 z210 z174 z141 z104 z070 z035 z018 z000
-1.109821581914118 -3.3160820147524364e-06 -2.9254841435209036e-06 -2.386433324880558e-06 -2.8880134860184587e-06 -5.920682409217276e-06 -1.2145790952807909e-05 -2.3725002555336812e-05 -3.636364234826535e-05 -5.42180690285177e-05 -7.6471106403494e-05 -0.00010603183975243481 -0.00011316073975584941 -0.00012496230090435032
-0.9728710560547515 -3.961042157852675e-06 -3.494475098343106e-06 -2.850581790409101e-06 -3.449716599189784e-06 -7.072223341230358e-06 -1.4508082065072029e-05 -2.8339388139007582e-05 -4.3436175496796066e-05 -6.476319228050156e-05 -9.134432591664685e-05 -0.00012665446314826098 -0.0001351698959171183 -0.00014926679732960588
-0.8359205301953851 -4.663180620897897e-06 -4.113909397934241e-06 -3.3558788908538946e-06 -4.061216960551704e-06 -8.325853024842708e-06 -1.7079799819377866e-05 -3.336285762976195e-05 -5.11357172558811e-05 -7.62431832721614e-05 -0.00010753611637256699 -0.0001491053653474305 -0.00015913025260786323 -0.00017572598546344503
-0.6989700043360187 -5.422497403888102e-06 -4.7837870422943084e-06 -3.902324626214938e-06 -4.722514570104216e-06 -9.681571460054325e-06 -1.986094421572542e-05 -3.879541102759993e-05 -5.9462267625520426e-05 -8.865804200349721e-05 -0.00012504647777125444 -0.0001733845463499433 -0.00018504180982808422 -0.00020433986530586778
-0.6631723473934306 -5.630402417059615e-06 -4.967203138966807e-06 -4.051944403299754e-06 -4.903581407166446e-06 -1.0052774448640408e-05 -2.062243648786709e-05 -4.0282873324014124e-05 -6.17421218353219e-05 -9.205729699941126e-05 -0.00012984090876340995 -0.0001800323165022673 -0.00019213653335566088 -0.00021217449928050456
-0.4037538403722266 -1.643859584807961e-05 -1.7349223808054754e-05 -1.6559075469546274e-05 -1.8675819215945805e-05 -3.966563356328291e-05 -8.9901184064996e-05 -0.00017657130304490386 -0.0002681742701938041 -0.000391005823574573 -0.0005126602072821981 -0.0006731747289536606 -0.0006882020507389505 -0.0007217086380084746
-0.23158679894333747 -2.982505168109897e-05 -3.0903299558516236e-05 -2.7163628153451476e-05 -4.0482974470043743e-05 -0.00010642323869826217 -0.00024121360397694509 -0.00046088863897343765 -0.0006698530189702916 -0.0009367506552189292 -0.0011717969244938939 -0.0014655736465658221 -0.0014889818137018822 -0.0014641501697275066
-0.10239138211843944 -4.717631008880781e-05 -5.04126097599882e-05 -4.803981011047669e-05 -8.387681670760745e-05 -0.0002672739641190431 -0.0005822366350396412 -0.001061469855932766 -0.0014625481880861148 -0.0018674644548322477 -0.00213127872983139 -0.002521578638174856 -0.0025555756764874347 -0.0023748975921004385
-0.0040447978487838186 -6.534556143616471e-05 -5.902046448157525e-05 -6.432464445842967e-05 -0.00012124307964666995 -0.0004173815762123223 -0.0009322637219527707 -0.0017586572260093014 -0.0024837965683237526 -0.0031275945860631885 -0.0032873262567324527 -0.003473715640043307 -0.0035541920589111124 -0.0033438943195264904
0.07444192382265377 -8.599130357256868e-05 -6.37102099280387e-05 -8.47260651269334e-05 -0.00018164619300110294 -0.0006793303037671537 -0.0014802249701524092 -0.0026988118151850663 -0.0036295679542744305 -0.004347205600220049 -0.004463022965089353 -0.004658088920336421 -0.004511067105641302 -0.004472369669134119
0.14111412278861568 -0.00010202595517369207 -9.468710937909241e-05 -8.66800034406771e-05 -0.00022240437294263578 -0.0008782272114541252 -0.001987681551670607 -0.003623632679047051 -0.004887720590771925 -0.005786466181193613 -0.0056963287590959845 -0.00546831918572234 -0.004932954281182228 -0.0045996364271252855
0.19979836516053204 -0.00011225334450177674 -0.00010345310037878912 -0.00012076179070736345 -0.00031085232833244286 -0.0011861490407107929 -0.0025910535678354933 -0.004664576551541789 -0.006211704940355382 -0.007426439164249178 -0.006938794403520757 -0.006222992396556422 -0.005538888800843878 -0.004850819125803406
