logk logPk493 logPk424 logPk373 logPk333 logPk300 logPk197 logPk103 logPk052 logPk023 logPk002 logPk000
0.2300144096042562 -0.00789627136142904 -0.008060216332991992 -0.008707030464326724 -0.008324469359095893 -0.009786398869884486 -0.011382269574860535 -0.020712216131726073 -0.014017208787413759 -0.008539848486676731 -0.003554353479179732 -0.0031320702451331545
0.2457593559672769 -0.008572515448954746 -0.009171530159304192 -0.009953665562543155 -0.009493424427385905 -0.010819147820983914 -0.01260119577560363 -0.02144490318280834 -0.015453063124774954 -0.009538364042673421 -0.004361261845825811 -0.003922749029067011
0.2610248339923974 -0.008759812203480695 -0.00930704707700446 -0.010229943993145672 -0.010090921290110067 -0.011854517240433696 -0.013720822150606632 -0.022516066689862828 -0.015580602932185422 -0.009561492745890326 -0.004277560659457096 -0.003829999098050228
0.2756568095370144 -0.009131268178889158 -0.00972998182368169 -0.010563475063650136 -0.010183102876528098 -0.01161999987347258 -0.014391923993723077 -0.02379237564088488 -0.01686623937736639 -0.00989262915626879 -0.0046115246584008595 -0.004164202600441916
0.2898341214850311 -0.009399771246203241 -0.010169418127580893 -0.011186575983279563 -0.010910279829214288 -0.012397633595696287 -0.014986277216398326 -0.024720229025749933 -0.017315948315991904 -0.01115837039249676 -0.005385882097471333 -0.004896938668172188
0.3034984457923137 -0.01025829036736078 -0.010897570287136386 -0.011617938720590278 -0.011232472193135579 -0.01285919643820378 -0.01646787861118677 -0.02600559987698856 -0.017981913388904303 -0.01118835462567668 -0.0055630891349656665 -0.005086615825852743
0.3167878116020958 -0.010064906118030695 -0.010603110971453581 -0.011624147195631531 -0.011380750144916883 -0.012899727340761096 -0.017661712460354147 -0.027339637581531483 -0.01837590443478849 -0.011264800903261594 -0.007530448802814185 -0.007214140336017168
0.3298858050544252 -0.010335573052859407 -0.011182655805141134 -0.012553195546811858 -0.012643004883870955 -0.014361364835040046 -0.017070968677041408 -0.02852812204973474 -0.019473109915109216 -0.011874702001831102 -0.007186493929116706 -0.006789391602496775
0.34248189875951635 -0.011387078744322406 -0.011942440605161194 -0.012816814341069765 -0.01252575772340741 -0.01410827645381653 -0.01731123035167175 -0.029339068411587538 -0.019311462260649608 -0.012005936848384592 -0.0064398187747042885 -0.005968355391889891
0.35468455395472853 -0.011597922410104964 -0.012574120041994588 -0.013939439515919494 -0.013910078475835851 -0.015482452950317525 -0.019101087285080965 -0.030650913004761172 -0.020522420878085354 -0.012868422593511092 -0.006372724231885262 -0.005822523197200931
0.3666097103924296 -0.012000074084505609 -0.01301567137648471 -0.014175579278693238 -0.013970199523134708 -0.015452995002066119 -0.01980479568929674 -0.03148471245418117 -0.02144059860360687 -0.01355821946196014 -0.0067826711351963035 -0.0062087661457093735
0.3781979704459173 -0.012539766425833486 -0.012692624665417098 -0.013879266820558948 -0.014182408941569205 -0.016174693111049014 -0.020341494011932488 -0.03213799870040936 -0.021726894867587953 -0.01335621246770135 -0.007636891617428283 -0.007152451596613602
0.38937874795250993 -0.012564484924424194 -0.013317981422294619 -0.014677883749982044 -0.014846055188078959 -0.0166442720711499 -0.021933407603374575 -0.033019633067689964 -0.022474800250040214 -0.015012147264713997 -0.007830501304851212 -0.00722219888409902
0.4003307218974442 -0.013328487847021241 -0.01447426717850261 -0.01587735512615455 -0.015986031644763816 -0.017559039043581262 -0.021653399130386088 -0.03346842373057038 -0.02347803587177335 -0.015520904669394216 -0.007727845192457602 -0.007067754598827596
0.4111312709395646 -0.01410529721601118 -0.014661321939417589 -0.01578661987458146 -0.015835192076604776 -0.017807770092004523 -0.022183913107430706 -0.03475613774683503 -0.023801295257806335 -0.015451411486614972 -0.008628402530562395 -0.008050477513375948
0.4216368267207542 -0.01402691396410803 -0.01479603959647737 -0.01629377026472781 -0.016611998839196385 -0.018761701909192765 -0.022803638407578177 -0.03525508539566255 -0.025036775797355974 -0.015997867745278383 -0.008161193723242753 -0.0074974088743526
0.43182997827306263 -0.014407925711096276 -0.015104707486914474 -0.01682263526848029 -0.017290132443375836 -0.019205102155992027 -0.02385408574682507 -0.03593388086741306 -0.025715334828949003 -0.01703959376660593 -0.010218027798289522 -0.00964022500558169
0.4417893665343504 -0.015354708947254731 -0.015563888557561618 -0.01670492293272136 -0.017213576380878833 -0.019660739837413253 -0.023985726356103094 -0.037155060615490704 -0.025805770945509166 -0.017286780899474014 -0.010701887961183019 -0.01014413193461986
0.4515868904569049 -0.0158709847268051 -0.01619759788602978 -0.017214013988277613 -0.01761347516323102 -0.02001360623022516 -0.025502302272479082 -0.03767276292650631 -0.027028235321731372 -0.0184087135713899 -0.010756609601460517 -0.010108458273092272
0.46112319663961343 -0.01652775417972353 -0.01739052941345119 -0.018215924151676898 -0.01793288075270166 -0.020006396989449032 -0.024688328688653626 -0.038079212156072274 -0.026680114497791424 -0.019591456942173516 -0.011434485278874211 -0.0107435704612233
0.47033697519379947 -0.01681895434165298 -0.01804721609479145 -0.01908976243652344 -0.018600497104609866 -0.02034810551135339 -0.026292186026848414 -0.0385783639141873 -0.02734817171178325 -0.02004065866906431 -0.011575051552210577 -0.010857994580716885
0.4794457366434334 -0.0166804517477727 -0.017112714072958658 -0.018516945832416726 -0.018911079404763418 -0.02140049529077701 -0.02671250691749958 -0.03950954070157578 -0.027723501460681137 -0.021632396750225213 -0.012543094367698926 -0.011773208930134827
0.4884661054376894 -0.017260134952181795 -0.018333725465031488 -0.019890616865981224 -0.01960648961850101 -0.021265905672474418 -0.027089122305695046 -0.039838083725267634 -0.02883544241789558 -0.02194974698695368 -0.012997280073828018 -0.01223898492458311
0.497316744472857 -0.01813971838478269 -0.018942223278486853 -0.02004766502338863 -0.01967913842169506 -0.0213349355394947 -0.02768975426359257 -0.040360711968326836 -0.029380190827575224 -0.02362569431651642 -0.013572072089935456 -0.012720506477826934
0.5058957812197507 -0.01846481306623351 -0.019064698025087208 -0.020700152399264562 -0.020735727768237257 -0.02237256695165377 -0.028910975190043178 -0.041228331938135264 -0.02970952204280417 -0.02385086789541007 -0.013800859691201895 -0.012949600195347266
0.5142953369618891 -0.019193196549720588 -0.019771983056510734 -0.021380973685468388 -0.021529725768578385 -0.023104735158665526 -0.02875741500067898 -0.04186171430733058 -0.030614731312312456 -0.025906102369646734 -0.014972642932346384 -0.014046553024813157
0.5226007078304421 -0.02014416719045799 -0.02083726909104571 -0.021744349793338776 -0.021388356797410524 -0.023330989634139432 -0.029134979198554276 -0.04222361879593682 -0.03196653724824643 -0.02636354557253732 -0.01623285550440208 -0.015374762063597794
0.5307246337413521 -0.0197582759365412 -0.020909060545314707 -0.022938472837521078 -0.022935511400739447 -0.023805986402929406 -0.030139359190337955 -0.04260582557126991 -0.03161851111338401 -0.027807953987299152 -0.017063998564143968 -0.016153960095402212
0.5386239964632283 -0.02046060341065755 -0.021251611563105694 -0.022428736445927636 -0.022499850125074484 -0.024217545789606124 -0.030876009322962514 -0.043556834154714175 -0.03259961217457093 -0.027885072112316864 -0.01743417361980192 -0.016548957767118233
0.5463945832987445 -0.020307648759150858 -0.021506967677310383 -0.023355716120440562 -0.023118501598377136 -0.02473629840729243 -0.0308903758772943 -0.043777845037303594 -0.03324639625995222 -0.028455422660382736 -0.0189071805391009 -0.018098421818778968
0.5541255815130127 -0.02142297596239003 -0.02220924467153344 -0.023542872837076498 -0.02348676350748842 -0.025585672686497734 -0.03091211804096697 -0.04402834345486378 -0.034048942082211625 -0.029558326763660325 -0.018875455911729625 -0.01797059145083428
0.561709447291157 -0.0214803694152801 -0.02208364860064126 -0.02383260900663543 -0.023639770841785392 -0.02513577018315836 -0.03244641355072014 -0.04476608439358007 -0.034736778518427776 -0.030211702307796663 -0.020735104937689822 -0.019932414697465282
0.5690928734866647 -0.022587330370103194 -0.023132888922769483 -0.024715118569147872 -0.02449774877893712 -0.02554515461686604 -0.03267011555511722 -0.045176527605038846 -0.03549286560645589 -0.03099890742291874 -0.02103901712366883 -0.02019539082778613
0.5764104631914152 -0.022619564223951703 -0.0233961513721695 -0.025152839114370995 -0.02487797151857783 -0.026183561657710727 -0.0331260415584969 -0.04595546706897289 -0.036018884335547945 -0.03163829809581295 -0.02250586107092384 -0.02173232202699788
0.5836067963731986 -0.02273681099440299 -0.023669345538015245 -0.02516623842436641 -0.02532150546803817 -0.027133120184978102 -0.03254772551839231 -0.046411028738339855 -0.036129986879806904 -0.03132580691870293 -0.022955636885005588 -0.022246663660474363
0.5906746805752014 -0.023744739659906738 -0.02440901749848304 -0.02611834581075384 -0.025619026236716386 -0.026963491086967533 -0.03401593983505443 -0.04691479334984577 -0.03657134169808159 -0.03313593619682755 -0.023845276836992668 -0.023058335986586343
0.5975635615929686 -0.02451836406395602 -0.024910640810443214 -0.026105474252118566 -0.026016611961027416 -0.027565652832068393 -0.03415803474889822 -0.04764780508960405 -0.03705826172642583 -0.03272821656806465 -0.024466182915824124 -0.02376636909889656
0.6043448736272001 -0.024754345397264392 -0.025499183660134046 -0.027154425159272532 -0.02627967078966856 -0.027399023905230777 -0.0342325654958583 -0.04850477261154238 -0.03633443838994196 -0.033308222188735796 -0.025044435209250843 -0.024344472881353354
