logk z300 z275 z250 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-0.7246988751144725 -7.068603301525911e-05 -0.00010560753207252351 -0.0001295592551531272 -0.0001644692699897646 -0.00021212413048005537 -0.00027487799940574244 -0.0003539408219294894 -0.0004474071308589823 -0.0005541719426092874 -0.0006654713713324127 -0.0007742387696506962 -0.000824142391783183 -0.000875132815202934 -0.0009293249799463559 -0.0009558912632213057
-0.6899367759445031 -9.789487033114215e-05 -0.00013450636517837284 -0.00016141059892358026 -0.0002008521420048143 -0.0002557799724412443 -0.0003296551267569832 -0.00042019341816062767 -0.0005300910195895202 -0.0006556577018095508 -0.0007927650601919313 -0.0009275626672673822 -0.0009879670764736965 -0.0010468630406881116 -0.0011078129722589024 -0.0011449177493601317
-0.6577520789009915 -8.46347172311881e-05 -0.0001259052607682647 -0.000159004209860126 -0.00020684710850071467 -0.00027273371756349104 -0.00035984988126259987 -0.00046900713145860205 -0.0005995003733117256 -0.0007461307432450571 -0.0009012130757884495 -0.00104655638427773 -0.0011134296609036681 -0.0011753002862833356 -0.0012266656981422413 -0.0012530339618508151
-0.6277888621064162 -6.876089182489675e-05 -0.00011396862450837229 -0.0001523415732417545 -0.00020694249957497126 -0.0002821507578725591 -0.0003809989772664182 -0.0005075692643994517 -0.0006587878233663936 -0.0008299565110094065 -0.0010159394582998922 -0.001195726510544484 -0.0012806225575099724 -0.0013604185914532292 -0.0014363163533061252 -0.001490579846717294
-0.5997601442661822 -0.00010070545240104396 -0.00015172800116282717 -0.0001965024967149228 -0.0002596884000580142 -0.0003455919329251424 -0.00045849919963896103 -0.0005985864066286397 -0.0007650882335629283 -0.0009521234960305125 -0.0011543542375628535 -0.0013464450294324306 -0.001438158211531778 -0.0015294117904839323 -0.0016121280581536802 -0.001676492483739181
-0.5734311943626382 -8.894063226297169e-05 -0.00014360661952028463 -0.0001942044098012147 -0.0002662288261674098 -0.00036400100188774574 -0.0004906361895711595 -0.0006503277549046576 -0.0008393657543629471 -0.001047206360056115 -0.0012734857554817884 -0.001509690115296299 -0.0016180855042046535 -0.0017205614535630862 -0.001824732417719524 -0.0019130401008474241
-0.5486076160587913 -0.00014278570745460904 -0.00020221413737322799 -0.00025877878764774855 -0.00034012672180934537 -0.00045038033510011704 -0.0005949409476573481 -0.0007717160485719317 -0.000980260253282443 -0.0012069317417660052 -0.001450081455326769 -0.0016749438948494627 -0.0017732511587113008 -0.0018752495691906428 -0.001972834783675795 -0.002061406892398849
-0.5251265250598027 -0.00015644132067580929 -0.00021638074695556973 -0.0002760560072803677 -0.00036383636155553945 -0.0004865123974528471 -0.0006512726004443817 -0.0008476426168331615 -0.0010764108742582494 -0.0013284298505163708 -0.001593541585847679 -0.001847707823353621 -0.0019578310614389244 -0.0020727509791116827 -0.0021891230483701177 -0.0023045945804014856
-0.5028501208901087 -0.0001182794847920658 -0.00018950903727629032 -0.00026204636723946257 -0.0003642886259371145 -0.0005021354801539114 -0.0006825980827160167 -0.0009053535448843949 -0.0011662193566904166 -0.0014475747398280283 -0.0017479367805818278 -0.0020349128961630178 -0.00216395499425603 -0.002284821052023698 -0.0023923655547076956 -0.002509719998205366
-0.4816608264281781 -0.00013141987546713395 -0.00020679376045315497 -0.0002860455498391152 -0.00039857944142648795 -0.000551358293950119 -0.0007505974135078617 -0.0009990176957815203 -0.0012922065169892706 -0.0016068588825230668 -0.001928811351098718 -0.0022362924701623565 -0.0023737509684535374 -0.002509668118582984 -0.002633436987489597 -0.0027572372493524806
