logk z350 z349 z328 z308 z290 z273 z244 z210 z200 z182 z174 z160 z141 z121 z104 z100 z079 z070 z060 z040 z035 z020 z000
-1.6576236853515838 9.68794954947931e-05 9.693767945879923e-05 9.804537753130301e-05 0.00010009142302509153 0.0001019203914217461 0.00010285352601144305 0.00010405905433900618 0.00010180709918844138 9.931411635062482e-05 9.301888926036343e-05 8.827419974402806e-05 7.765535419679204e-05 5.492718574938594e-05 1.3616100667707853e-05 -3.33268118554468e-05 -4.5690932198891373e-05 -0.00012752967142342955 -0.00017280867888942562 -0.00023314912874501062 -0.00038829607064857623 -0.0004371555826458381 -0.0006057425649744007 -0.0008681098264846105
-1.5206731594922174 0.0001277090264004404 0.0001277857259884945 0.0001292459218912767 0.00013194307134120118 0.00013435406421498716 0.00013558414607433355 0.00013717330431906773 0.00013420471949823176 0.0001309184058213849 0.00012261987661702748 0.00011636530566154457 0.00010236727213124972 7.240641973973984e-05 1.7949091815169654e-05 -4.3932254945717754e-05 -6.0230954307173985e-05 -0.00016811287147474463 -0.0002278008160736244 -0.0003073431388764462 -0.0005118618019672853 -0.0005762696591273829 -0.0007985053269228055 -0.0011443645549843254
-1.3837226336328508 0.0001627734980040561 0.00016287125664019112 0.0001647323717200429 0.000168170064911966 0.00017124303285158884 0.00017281085254860321 0.00017483633855901474 0.00017105268325266166 0.00016686406176053909 0.0001562870441059951 0.0001483151847814532 0.00013047377648694677 9.228671262461953e-05 2.28772902205843e-05 -5.5994529237878625e-05 -7.676828644797631e-05 -0.00021427083833250584 -0.00029034702342977525 -0.0003917289107318184 -0.0006524013090478557 -0.0007344933310794206 -0.0010177472094302115 -0.00145856739227331
-1.2467721077734844 0.00020207291030564008 0.00020219427141388892 0.00020450472701760147 0.0002087724037373859 0.00021258729733155093 0.00021453364543425196 0.00021704815705884714 0.00021235099045173092 0.00020715108416808722 0.0001940203917272663 0.00018412383710375384 0.00016197486726388308 0.00011456806440402494 2.8400695883951773e-05 -6.951363473192935e-05 -9.530292862129832e-05 -0.000266003571996713 -0.0003604473009578779 -0.0004863064443111269 -0.0008099145918902868 -0.0009118265985019509 -0.0012634682124966186 -0.001810718338351563
-1.109821581914118 0.0002456072633051924 0.00024575477030958797 0.0002485629877839524 0.0002537500878174609 0.00025838685765487354 0.00026075252473127986 0.0002638087598185649 0.0002580996410954396 0.0002517794730440294 0.0002358199194808411 0.00022379126262844654 0.00019687054446205872 0.00013925047507795608 3.451930880527208e-05 -8.448957142786997e-05 -0.00011583488082714002 -0.00032331107246736626 -0.0004381016486579326 -0.0005910757396143717 -0.000984401650494579 -0.001108269461394974 -0.0015356683361220263 -0.0022008173932190848
-0.9728710560547515 0.000293376557002713 0.00029355275332728823 0.0002969071540190958 0.00030310311715219093 0.00030864171382155657 0.0003114674904396868 0.0003151181468381681 0.00030829863518378776 0.00030074922838836546 0.00028168562736671944 0.00026731746135553124 0.00023516080808147363 0.000166333944646413 4.123312898454522e-05 -0.00010092233932570047 -0.00013836414306550137 -0.00038619333974446537 -0.000523310066529939 -0.0007060367966415529 -0.0011758624848607318 -0.0013238219197584894 -0.0018343475803064345 -0.002628864556875875
-0.8359205301953851 0.0003453807913982019 0.0003455882204669898 0.00034953722572303165 0.00035683149174157617 0.00036335186583160025 0.0003666785425594729 0.0003709763181176568 0.00036294797271677537 0.0003540603502010956 0.0003316175153849014 0.00031470243328500806 0.0002768456581221279 0.00019581847310939566 4.854215642177119e-05 -0.00011881193842542085 -0.00016289071533638245 -0.00045465037382801067 -0.0006160725545738975 -0.0008311896153926707 -0.001384297094988746 -0.0015584839735924977 -0.0021595059450498443 -0.0030948598293219355
-0.6989700043360187 0.00040161996649165925 0.0004018611717286926 0.00040645320289575996 0.00041493521158561655 0.0004225173136850044 0.00042638568109063814 0.0004313832736570309 0.0004220476536944025 0.0004117128384822198 0.00038561558353538696 0.000365946178416877 0.00032192509458402153 0.0002277040604669041 5.6446391116950006e-05 -0.00013815836872703113 -0.00018941459763978326 -0.000528682174718002 -0.0007163891127898081 -0.000966534195867725 -0.0016097054808786213 -0.0018122556228969992 -0.002511143430352255 -0.0035988032105572646
-0.6631723473934306 0.00041701855467051564 0.000417269008003813 0.00042203710311875583 0.00043084432213091173 0.00043871713106138276 0.00044273381628379295 0.00044792302250547234 0.00043822946374698525 0.00042749839940220305 0.0004004005445971626 0.00037997699104378065 0.0003342680863910329 0.00023643450553021268 5.8610613026994465e-05 -0.0001434555252456036 -0.00019667697906368932 -0.0005489524793970742 -0.0007438563251897066 -0.0010035922688837694 -0.0016714235075141637 -0.0018817396633832863 -0.0026074236623332965 -0.003736785614819201
-0.4037538403722266 0.0004577085014550819 0.0004584615834226212 0.00047269481594883385 0.0004892434677867935 0.0005027820150806669 0.0005104871255353691 0.0005113543568659562 0.0004395307595339977 0.0003890737586140051 0.00024637505647353197 0.00015587581368029427 -4.507966593660154e-05 -0.0004915061314906182 -0.001256576660556116 -0.002125660742170115 -0.0023451387382553 -0.003777847136677616 -0.0045661437310538285 -0.0055910844263517695 -0.008111719791855392 -0.008898940931818538 -0.011458030749391482 -0.015299765714836643
