logk z350 z325 z280 z245 z210 z200 z180 z170 z160 z140 z120 z110 z100 z080 z070 z060 z040 z035 z020 z00625 z000
-1.1692582760494505 -3.846235316044498e-05 -4.150515439905478e-05 -5.305351427435274e-05 -6.184842192212453e-05 -7.332265200923755e-05 -7.528783356710029e-05 -8.125150182549382e-05 -8.40915153641473e-05 -8.813808703495857e-05 -9.28120742808761e-05 -9.638626314181848e-05 -9.90101339572271e-05 -0.0001017664628696841 -0.00010688418259258867 -0.0001111583206042386 -0.00011605974894238869 -0.00013777150008121916 -0.0001518359415733814 -0.0002430513829096961 -0.00035610457079254484 -0.00039850576031388537
-1.0360225435735422 -4.605125518853531e-05 -4.9694423242832026e-05 -6.352135851660287e-05 -7.405156541157939e-05 -8.778974455078571e-05 -9.014267072343626e-05 -9.728301410496096e-05 -0.00010068338297115733 -0.0001055283726646863 -0.00011112457158969294 -0.00011540397390916801 -0.00011854555352074513 -0.00012184572617533025 -0.0001279732092224479 -0.00013309066575102895 -0.00013895918155002065 -0.00016495481910535644 -0.0001817942771993005 -0.0002910071885516256 -0.00042636659267733675 -0.00047713384528924406
-0.9027868110976343 -5.432173863416932e-05 -5.861919419831494e-05 -7.492935037056943e-05 -8.735070879762593e-05 -0.00010355616885412302 -0.00010633166411593382 -0.00011475436324414278 -0.0001187654145836353 -0.00012448053055039068 -0.00013108176767420986 -0.00013612972072906722 -0.000139835506073242 -0.00014372836666208075 -0.00015095630282165138 -0.00015699281876197063 -0.00016391527896632754 -0.00019457955126744617 -0.0002144432582950888 -0.00034327004491945575 -0.0005029390516053872 -0.000562823747826337
-0.7695510786217261 -6.327380349734702e-05 -6.827946726550357e-05 -8.727748983625249e-05 -0.00010174585208026421 -0.00012062192491924952 -0.000123854813744593 -0.00013366554924303933 -0.00013833761020158128 -0.00014499456069207178 -0.00015268366253442693 -0.00015856350360151617 -0.00016287999161471783 -0.00016741438432993572 -0.00017583346339019923 -0.00018286477963706376 -0.0001909280411913095 -0.00022664569656748838 -0.00024978288486074657 -0.00039983995201318674 -0.0005858219475766964 -0.0006555754679251647
-0.7629088943373012 -6.37379260325776e-05 -6.878030707123434e-05 -8.791768289581877e-05 -0.00010249217267751845 -0.00012150670425135118 -0.0001247633067856042 -0.00013464600545332972 -0.0001393523366573283 -0.0001460581168461738 -0.0001538036193669056 -0.00015972658992190251 -0.00016407474000138192 -0.000168642393145504 -0.00017712322737302116 -0.00018420611934541703 -0.0001923285260938495 -0.00022830817565797662 -0.00025161507858660083 -0.00040277283611304346 -0.0005901190366163084 -0.0006603842091638853
-0.4884748709539831 -0.00013534645979386284 -0.00015681065658371108 -0.0002096449099238142 -0.00024938554711351354 -0.0002960928865374591 -0.00030509782633542115 -0.0003249557495866528 -0.00033459045722106126 -0.0003444429533288043 -0.000357660940049046 -0.00036404448345379924 -0.0003698105703494641 -0.00038480961750826176 -0.0004112480570520922 -0.00044446026091730847 -0.00047137970199849505 -0.0005351614100174932 -0.0005496696764612564 -0.0007181428281373776 -0.000994002648445708 -0.0010925946831191866
-0.31421751963176914 -0.0002540465560943262 -0.0002967342746386976 -0.00040127513382881796 -0.0004978489835169434 -0.0005926944446435762 -0.0006150690704709862 -0.0006526813046622389 -0.0006697845144111395 -0.0006932511730691394 -0.000710036431515851 -0.0007074421255321257 -0.0007199476909324706 -0.0007439237318260973 -0.0008072069352724183 -0.0008872003073464511 -0.0009753952212007834 -0.0011318973020064745 -0.0011717077072915633 -0.001514905610808956 -0.0018708504629491032 -0.0019971255164621168
-0.18509009711516008 -0.00041470901948018583 -0.000488963438149188 -0.0006576449004456281 -0.0008150679522157965 -0.0009669540336452537 -0.0010047825631970008 -0.0010678771089357975 -0.001096043648571068 -0.0011245240196359452 -0.0011357371173770173 -0.0011044903096608819 -0.0011004355525633311 -0.0011289443118703934 -0.001239789546012475 -0.001374712640247146 -0.0015316141563837518 -0.0019236562909525578 -0.0020396315887009626 -0.003130074309503742 -0.004335684112654785 -0.004739134296042047
-0.08714689514428148 -0.0006448651110689373 -0.0007561327375437681 -0.0010078443936941742 -0.0012368663146008292 -0.001426132207951135 -0.0014577647013169265 -0.0015327295604820063 -0.001573836643143427 -0.001607578159148307 -0.0016394830494312423 -0.0016505714808916962 -0.0016834735024919207 -0.0017359206171474436 -0.0018784980163638575 -0.0020593620802131147 -0.0022987599289620076 -0.002746844645973944 -0.0027026454098355635 -0.003576178344765749 -0.004864848951578576 -0.005307573599215524
-0.007756082547111456 -0.0009049591824669257 -0.0010608290373605171 -0.0014279292601815591 -0.001741126040182679 -0.0019923556046721517 -0.0020473764695738716 -0.002125237831234646 -0.002163706266757077 -0.002183484690954123 -0.002168087929259881 -0.002180458964737827 -0.002259332358903147 -0.002358914977297128 -0.002403069046882512 -0.0024921680039998355 -0.0027090247240536994 -0.003472641142510757 -0.003449968962057253 -0.00451046936551245 -0.005142608960224646 -0.0053630557104175705
0.06067075107607582 -0.0012172369037576948 -0.0014418545601334585 -0.0019495430525113188 -0.0023617866785955984 -0.002663817810935929 -0.002738488708997558 -0.002812217760088579 -0.002846366443866961 -0.002871820247208456 -0.002766766243703462 -0.002649592108301266 -0.0026792719060442518 -0.0027124500956896666 -0.002666264975205682 -0.0026033366926925447 -0.002562027148557536 -0.0031213804132344705 -0.003212470094219865 -0.005399040180666828 -0.006444310594611417 -0.006802552269936712
0.11951327890606993 -0.0015644734743946033 -0.00186397030680007 -0.0025295922244177272 -0.003084080445555181 -0.0034838439109568385 -0.0035653561204598786 -0.0036243574838704606 -0.0036510132727072975 -0.0036421004770498437 -0.0034236107328952025 -0.00316239022029174 -0.003204848568357102 -0.003234985128117617 -0.0029872125289650254 -0.0029665553950124603 -0.0029241683033335653 -0.002990676026306916 -0.002836837392061063 -0.004663774503976004 -0.0061476352113971604 -0.006662860925717616
0.1709124512981199 -0.00197688655945693 -0.0023210599670065077 -0.0031232060161156547 -0.0038145984456267666 -0.004322157812653956 -0.004403085469703698 -0.004485844632556979 -0.004497794719900524 -0.004458746562209555 -0.004225366913509948 -0.003792658508956353 -0.003722242476337104 -0.0036545281335900884 -0.0033009358027050605 -0.003142239755578157 -0.0027711459685401062 -0.002520353223225095 -0.002178818314761138 -0.003957890098882954 -0.004325457327415294 -0.004456314054420386
0.21740000990535763 -0.0024715539403618275 -0.0028834608987449964 -0.0038277218498146636 -0.0046720468832501735 -0.005259707594560412 -0.00535143386165715 -0.005395771738662011 -0.005314846287590269 -0.005184330577238665 -0.004757100250729355 -0.004204902252754406 -0.003953955270609692 -0.003627215299488813 -0.0032776782509832585 -0.003412579669410375 -0.0029163875905830745 -0.001828797444519031 -0.001310145840766416 -0.0033014655070656863 -0.0044922023008455905 -0.004909506089020885
