logk z353 z302 z248 z224 z201 z174 z149 z126 z100 z074 z050 z027 z000
-1.8210653899566043 5.909092780945683e-06 4.4494936238475706e-06 1.2633714893478926e-06 -8.092137533502187e-07 -2.2464448188022706e-06 -4.9835278951468695e-06 -7.5125834490826995e-06 -1.0706077762304229e-05 -1.3132475635495213e-05 -1.4781317587959376e-05 -1.757917262556873e-05 -1.974925283610415e-05 -2.3864491034873658e-05
-1.6865231530741154 8.185736279437764e-06 6.1637856659321345e-06 1.7501207407183924e-06 -1.1209860166654533e-06 -3.1119506047224086e-06 -6.903571597730987e-06 -1.0407016638790735e-05 -1.4830894081062352e-05 -1.8192129694585988e-05 -2.047623419077311e-05 -2.4352041245253184e-05 -2.7358205637518303e-05 -3.305895461387886e-05
-1.5519809161916267 1.0830389881776906e-05 8.155186000487433e-06 2.3155510164403035e-06 -1.483154990346306e-06 -4.117361858656169e-06 -9.133982506619867e-06 -1.3769323107485293e-05 -1.96224700759936e-05 -2.406965612453742e-05 -2.7091710754683067e-05 -3.221971635779587e-05 -3.6197114517901556e-05 -4.37396655999853e-05
-1.4174386793091378 1.3843053587963124e-05 1.042369462751347e-05 2.959662316513628e-06 -1.895720674392779e-06 -5.2626785806035544e-06 -1.1674760621813513e-05 -1.7599502855166387e-05 -2.5080805747097994e-05 -3.076505492534952e-05 -3.462774727968928e-05 -4.1182197963196806e-05 -4.626597947725395e-05 -5.5906623993193016e-05
-1.2828964424266491 1.72237273979964e-05 1.2969311547010238e-05 3.6824546409383644e-06 -2.3586830688048697e-06 -6.547900770564562e-06 -1.4525905943311921e-05 -2.1897555881834006e-05 -3.120590109437552e-05 -3.8278326097022285e-05 -4.308434376579172e-05 -5.1239486061455965e-05 -5.756480051557545e-05 -6.955982979350197e-05
-1.1483542055441602 2.097241131187676e-05 1.579203675897775e-05 4.483927989714515e-06 -2.872042173582581e-06 -7.973028428539197e-06 -1.76874184711151e-05 -2.6663482187488165e-05 -3.7997756117826197e-05 -4.660946963955573e-05 -5.246150021299042e-05 -6.239158065257339e-05 -7.009357763286611e-05 -8.469928300091222e-05
-1.0138119686616713 2.5089105329604186e-05 1.8891870263416e-05 5.364082362842079e-06 -3.4357979887259116e-06 -9.538061554527459e-06 -2.1159298205223043e-05 -3.189728177212886e-05 -4.5456370817450015e-05 -5.575848555294984e-05 -6.275921662128536e-05 -7.463848173654907e-05 -8.385231082912588e-05 -0.00010132498361542374
-0.8792697317791824 2.957380945117868e-05 2.2268812060324984e-05 6.3229177603210535e-06 -4.04995051423486e-06 -1.124300014852934e-05 -2.494154514563575e-05 -3.7598954635756074e-05 -5.358174519324696e-05 -6.572537383720461e-05 -7.397749299067653e-05 -8.798018931338297e-05 -9.884100010435477e-05 -0.0001194369316370365
-0.744727494896694 3.442652367660023e-05 2.5922862149704693e-05 7.360434182151439e-06 -4.714499750109427e-06 -1.308784421054484e-05 -2.9034159292353207e-05 -4.3768500778369806e-05 -6.237387924521702e-05 -7.651013449232002e-05 -8.611632932116391e-05 -0.00010241670338307507 -0.00011505964545855273 -0.00013903512706575047
-0.7283661349237933 3.504174821629409e-05 2.6386120684996184e-05 7.491969964683528e-06 -4.7987509503146734e-06 -1.3321732563770885e-05 -2.9553018746587836e-05 -4.4550672571183316e-05 -6.348854134436014e-05 -7.787742073699384e-05 -8.76552845628966e-05 -0.00010424695699182509 -0.00011711583672780632 -0.00014151977590377545
-0.4324189130016626 -6.226380709550841e-05 -0.00010208309874983712 -0.00016540735488123845 -0.00019783881594103608 -0.00023437807460773588 -0.00028190030666978215 -0.00033008463682960296 -0.00036855450143993617 -0.0003914311614704625 -0.0003870890788741345 -0.00039362752205742476 -0.0004102539424940859 -0.0005232364617493191
-0.23584587555710576 -0.000270928616926656 -0.00037862342822691587 -0.0005377064742381401 -0.0006258479689100409 -0.0007288236988836049 -0.0008619678791688195 -0.0009747608418873504 -0.0010293882775742186 -0.001011577655924536 -0.0009079467806103408 -0.0008550502363068376 -0.0007986871271563305 -0.0010036441402927027
-0.09586748437830925 -0.0005887601863688149 -0.0008109707422364278 -0.001114353584475351 -0.001294652340458564 -0.00148673086861898 -0.0017743543946748689 -0.0020083953352534457 -0.0021047094210126164 -0.0020114524207298485 -0.0017965047619286534 -0.0017206089599050693 -0.0015696260618540182 -0.002229547342056064
0.009340807466496761 -0.0010362547921571137 -0.0014066066637263208 -0.0019288058465792483 -0.0022123314127072235 -0.0025165195402097316 -0.0029614804779330164 -0.003342568517201678 -0.0035500533279211703 -0.0034600938352571755 -0.0028944008609237417 -0.002646352662203035 -0.0022414705948979874 -0.002891064785678163
0.09476736479355613 -0.0016532991458442729 -0.002238649007561784 -0.0030222347973428345 -0.003444769351184399 -0.0038998378668297813 -0.004572032564800559 -0.005135021173248458 -0.005401265439378159 -0.005319347610896043 -0.004319435922597948 -0.0034874793066356664 -0.002088357244111503 -0.002408333498822129
