z,M500,f_b
0.12,1258925411794.1455,0.5949602601785317
0.12,1584893192461.085,0.5583913492893106
0.12,1995262314968.842,0.5130914493648825
0.12,2511886431509.531,0.4686586084776902
0.12,3162277660168.3145,0.4235050657802718
0.12,3981071705534.888,0.3874924391347124
0.12,5011872336272.612,0.3547074355829159
0.12,6309573444801.788,0.3372858374259029
0.12,7943282347242.627,0.3286489640672004
0.12,9999999999999.754,0.3246100210372891
0.12,12589254117941.354,0.3274563271819645
0.12,15848931924610.72,0.3463563210080796
0.12,19952623149688.258,0.3644700447374634
0.12,25118864315095.1,0.3897905931720562
0.12,31622776601682.887,0.4234884999900585
0.12,39810717055348.555,0.4556954198093071
0.12,50118723362725.71,0.4963490730869793
0.12,63095734448017.37,0.5390029949794454
0.12,79432823472425.61,0.5852921168750159
0.12,99999999999996.72,0.6230115902314451
0.12,125892541179412.5,0.6703687731701405
0.12,158489319246105.9,0.7041694000026406
0.12,199526231496880.97,0.7422821172542191
0.12,251188643150948.97,0.7764900943059958
0.12,316227766016826.3,0.7974679476787274
0.12,398107170553482.25,0.8288452156795537
0.12,501187233627253.0,0.8289703707081761
0.12,630957344480168.5,0.8678048313129878
0.12,794328234724249.6,0.8566385724748179
0.12,999999999999959.2,0.8868507108454903
0.12,1258925411794114.8,0.9176981845959156
0.12,1584893192461046.0,0.9333537234956026
0.12,1995262314968792.8,0.9484002208825618
0.25,99999999999.99918,0.6986981894664874
0.25,125892541179.4156,0.7137561689008773
0.25,158489319246.1098,0.7203073275433548
0.25,199526231496.88583,0.7597630400033708
0.25,251188643150.9551,0.7849241836235793
0.25,316227766016.83405,0.8101134678017342
0.25,398107170553.49207,0.8374116267316344
0.25,501187233627.2653,0.8536760749410343
0.25,630957344480.184,0.7856012485459412
0.25,794328234724.2692,0.6688052615079231
0.25,999999999999.9836,0.6236863548598677
0.25,1258925411794.1455,0.5938642573440789
0.25,1584893192461.085,0.5631509878559229
0.25,1995262314968.842,0.517764793421452
0.25,2511886431509.531,0.4733981035980185
0.25,3162277660168.3145,0.4303907935881494
0.25,3981071705534.888,0.3976959092048934
0.25,5011872336272.612,0.3688620648783017
0.25,6309573444801.788,0.3506419101674475
0.25,7943282347242.627,0.3426785193307598
0.25,9999999999999.754,0.3428006518389016
0.25,12589254117941.354,0.3490323973118241
0.25,15848931924610.72,0.3648862354950385
0.25,19952623149688.258,0.3857006605022137
0.25,25118864315095.1,0.4104627276894882
0.25,31622776601682.887,0.4442245909420327
0.25,39810717055348.555,0.4744378365069456
0.25,50118723362725.71,0.5170123825450331
0.25,63095734448017.37,0.5572854553919316
0.25,79432823472425.61,0.596891101274522
0.25,99999999999996.72,0.6368475331916058
0.25,125892541179412.5,0.6790205295107343
0.25,158489319246105.9,0.7199479275647832
0.25,199526231496880.97,0.7495826447057261
0.25,251188643150948.97,0.7772766509874287
0.25,316227766016826.3,0.8158023882144315
0.25,398107170553482.25,0.8249229338492776
0.25,501187233627253.0,0.8471885263103867
0.25,630957344480168.5,0.8552828635451661
0.25,794328234724249.6,0.8552895048226411
0.25,999999999999959.2,0.8777516424137162
0.25,1258925411794114.8,0.914933587583436
0.25,1584893192461046.0,0.8866342776349665
0.25,1995262314968792.8,0.9367700366054276
0.37,99999999999.99918,0.7396720900620991
0.37,125892541179.4156,0.7347176307781964
0.37,158489319246.1098,0.7379828183930964
0.37,199526231496.88583,0.7756874901214417
0.37,251188643150.9551,0.8011227040913899
0.37,316227766016.83405,0.824190661456608
0.37,398107170553.49207,0.8493041263770948
0.37,501187233627.2653,0.864431700780706
0.37,630957344480.184,0.7932902947683618
0.37,794328234724.2692,0.6651496378275943
0.37,999999999999.9836,0.6206115101942828
0.37,1258925411794.1455,0.5997273686614931
0.37,1584893192461.085,0.5635039818857952
0.37,1995262314968.842,0.5236487624722274
0.37,2511886431509.531,0.4784099974042063
0.37,3162277660168.3145,0.4378273800301475
0.37,3981071705534.888,0.407964242589143
0.37,5011872336272.612,0.3789801277296267
0.37,6309573444801.788,0.3663435014928453
0.37,7943282347242.627,0.3574166399385229
0.37,9999999999999.754,0.3590583950210336
0.37,12589254117941.354,0.3661041809676744
0.37,15848931924610.72,0.3821078931060221
0.37,19952623149688.258,0.404280357945298
0.37,25118864315095.1,0.4314967248217691
0.37,31622776601682.887,0.4608480178791831
0.37,39810717055348.555,0.4954198069182177
0.37,50118723362725.71,0.5351002692401788
0.37,63095734448017.37,0.5774122258416579
0.37,79432823472425.61,0.6144670646779217
0.37,99999999999996.72,0.6509041307673815
0.37,125892541179412.5,0.6951265502647497
0.37,158489319246105.9,0.7362334442799798
0.37,199526231496880.97,0.7601682353822817
0.37,251188643150948.97,0.7832580535121373
0.37,316227766016826.3,0.8162550773432634
0.37,398107170553482.25,0.8324484007653218
0.37,501187233627253.0,0.8412400939878955
0.37,630957344480168.5,0.8538987987208422
0.37,794328234724249.6,0.8858738013907587
0.37,999999999999959.2,0.8985552081020454
0.37,1584893192461046.0,0.9167187126599587
0.5,99999999999.99918,0.7420626020831786
0.5,125892541179.4156,0.7575499570558306
0.5,158489319246.1098,0.7542762237179643
0.5,199526231496.88583,0.7919086306482704
0.5,251188643150.9551,0.8148385215235279
0.5,316227766016.83405,0.8378360772613774
0.5,398107170553.49207,0.8606191672618824
0.5,501187233627.2653,0.8755790992671044
0.5,630957344480.184,0.8052792099627059
0.5,794328234724.2692,0.6646850397044614
0.5,999999999999.9836,0.6245644283815908
0.5,1258925411794.1455,0.5996471584078213
0.5,1584893192461.085,0.5682120357375514
0.5,1995262314968.842,0.5278835535427066
0.5,2511886431509.531,0.4853676236834072
0.5,3162277660168.3145,0.4476795905816058
0.5,3981071705534.888,0.4165886113404544
0.5,5011872336272.612,0.3893707899687514
0.5,6309573444801.788,0.3809671490170061
0.5,7943282347242.627,0.3720298641229428
0.5,9999999999999.754,0.376028305898115
0.5,12589254117941.354,0.3842010109187674
0.5,15848931924610.72,0.4006340303989847
0.5,19952623149688.258,0.4211409267514874
0.5,25118864315095.1,0.4501730707184465
0.5,31622776601682.887,0.477981469783126
0.5,39810717055348.555,0.5148769582371181
0.5,50118723362725.71,0.5501710630878894
0.5,63095734448017.37,0.588583627842858
0.5,79432823472425.61,0.6249250526249165
0.5,99999999999996.72,0.6713882484379512
0.5,125892541179412.5,0.7107921910253115
0.5,158489319246105.9,0.7312904392489052
0.5,199526231496880.97,0.7652164152334386
0.5,251188643150948.97,0.8012124939432297
0.5,316227766016826.3,0.826462736873431
0.5,398107170553482.25,0.8433570092055183
0.5,501187233627253.0,0.8625245792085603
0.5,630957344480168.5,0.8885377685608123
0.5,794328234724249.6,0.9133611930135784
0.5,999999999999959.2,0.897884509044247
0.5,1258925411794114.8,0.8958598922248108
0.5,1995262314968792.8,0.9123254726101552
0.75,99999999999.99918,0.7901438589653403
0.75,125892541179.4156,0.7932123477248747
0.75,158489319246.1098,0.7848772965452554
0.75,199526231496.88583,0.8195058850415883
0.75,251188643150.9551,0.8427013618980803
0.75,316227766016.83405,0.8611423534415604
0.75,398107170553.49207,0.8828532714228439
0.75,501187233627.2653,0.8963111094927081
0.75,630957344480.184,0.8304068132047401
0.75,794328234724.2692,0.6758213750912566
0.75,999999999999.9836,0.6316250457252606
0.75,1258925411794.1455,0.6074912422592844
0.75,1584893192461.085,0.576725703763563
0.75,1995262314968.842,0.5411251494198126
0.75,2511886431509.531,0.5021703310056941
0.75,3162277660168.3145,0.4641601183534243
0.75,3981071705534.888,0.4363496595290788
